Synset ID,Lemma,Gendered Word,Gender,Is Gendered Word?,
oewn-11317746-n,Sherman,man,M,FALSE,
oewn-11317746-n,Roger Sherman,man,M,FALSE,
oewn-10587628-n,second baseman,man,M,TRUE,
oewn-09799988-n,aircraftman,man,M,TRUE,
oewn-09799988-n,aircraftsman,man,M,TRUE,
oewn-10133352-n,straw man,man,M,FALSE,
oewn-10133352-n,strawman,man,M,FALSE,
oewn-10133352-n,front man,man,M,TRUE,
oewn-10205969-n,plantsman,man,M,TRUE,
oewn-09725792-n,Cheremiss,miss,F,FALSE,
oewn-10265038-n,landsman,man,M,TRUE,
oewn-10055860-n,drug baron,baron,M,TRUE,probably gendered
oewn-10055860-n,drug baron,baron,M,TRUE,
oewn-10109789-n,moneyman,man,M,TRUE,
oewn-10701616-n,swagman,man,M,TRUE,
oewn-09897417-n,brother,brother,M,TRUE,
oewn-10184085-n,head nurse,nurse,F,FALSE,
oewn-10716631-n,Teddy boy,boy,M,TRUE,
oewn-10716631-n,Teddy boy,boy,M,TRUE,
oewn-10234307-n,artificer,artificer,M,FALSE,
oewn-10213269-n,huntress,ess,F,TRUE,
oewn-10586524-n,sea king,king,M,TRUE,
oewn-10586524-n,sea king,king,M,TRUE,
oewn-10732903-n,T-man,man,M,TRUE,
oewn-10467639-n,point man,point man,M,TRUE,
oewn-10467639-n,point man,man,M,TRUE,
oewn-10402793-n,organization man,man,M,TRUE,
oewn-11059184-n,Hellman,man,M,FALSE,
oewn-11059184-n,Lillian Hellman,man,M,FALSE,
oewn-09856847-n,bandsman,man,M,TRUE,
oewn-09990915-n,agricultural agent,gent,M,FALSE,
oewn-09990915-n,county agent,gent,M,FALSE,
oewn-09990915-n,extension agent,gent,M,FALSE,
oewn-10520188-n,queen mother,mother,F,TRUE,
oewn-10520188-n,queen mother,mother,F,TRUE,
oewn-10294512-n,underclassman,man,M,TRUE,
oewn-10294512-n,lowerclassman,man,M,TRUE,
oewn-10311713-n,rich man,man,M,TRUE,
oewn-10311713-n,wealthy man,man,M,TRUE,
oewn-09828372-n,armorer,armorer,M,FALSE,
oewn-09828372-n,armourer,armourer,M,FALSE,
oewn-09943771-n,city boy,boy,M,TRUE,
oewn-09943771-n,city boy,boy,M,TRUE,
oewn-10313681-n,margrave,margrave,M,FALSE,
oewn-10791760-n,weatherman,man,M,TRUE,
oewn-11370388-n,John Trumbull,bull,M,FALSE,
oewn-11370388-n,Trumbull,bull,M,FALSE,
oewn-10194879-n,high priest,priest,M,FALSE,
oewn-09796794-n,agent,gent,M,FALSE,
oewn-09965384-n,fellow,fellow,M,FALSE,
oewn-09965384-n,fellow,fellow,M,FALSE,
oewn-10388497-n,nympho,ho,F,TRUE,Gendered but not due to the gendered word!
oewn-10281085-n,bargeman,man,M,TRUE,
oewn-10281085-n,lighterman,man,M,TRUE,
oewn-11311169-n,George Segal,gal,F,FALSE,
oewn-11311169-n,Segal,gal,F,FALSE,
oewn-09892248-n,brahman,man,M,FALSE,
oewn-09899655-n,bunny girl,girl,F,TRUE,
oewn-09899655-n,bunny girl,girl,F,TRUE,
oewn-09899655-n,bunny girl,girl,F,TRUE,
