SSID,Members,Definition,Appropriate,Unbiased,Biased,Incidental,Comment
oewn-11009797-n,"Garbo, Greta Garbo, Greta Louisa Gustafsson",United States film actress (born in Sweden) known for her reclusiveness (1905-1990),TRUE,FALSE,FALSE,FALSE,
oewn-11010505-n,"Gardner, Isabella Stewart Gardner",United States collector and patron of art who built a museum in Boston to house her collection and opened it to the public in 1903 (1840-1924),TRUE,FALSE,FALSE,FALSE,
oewn-11011736-n,"Gaskell, Elizabeth Cleghorn Stevenson Gaskell, Elizabeth Gaskell",English writer who is remembered for her biography of Charlotte Bronte (1810-1865),TRUE,FALSE,FALSE,FALSE,
oewn-11023272-n,"Godiva, Lady Godiva",according to legend she rode naked through Coventry in order to persuade her husband not to tax the townspeople so heavily; the only person to look at her as she rode by was a man named Tom and Peeping Tom has become a synonym for voyeur (circa 1040-1080),TRUE,FALSE,FALSE,FALSE,
oewn-11027177-n,"Goodall, Jane Goodall",English zoologist noted for her studies of chimpanzees in the wild (born in 1934),TRUE,FALSE,FALSE,FALSE,
oewn-11035868-n,"Grey, Lady Jane Grey",Queen of England for nine days in 1553; she was quickly replaced by Mary Tudor and beheaded for treason (1536-1554),TRUE,FALSE,FALSE,FALSE,
oewn-11038435-n,"Guenevere, Guinevere",(Arthurian legend) wife of King Arthur; in some versions of the legend she became Lancelot's lover and that led to the end of the Knights of the Round Table,TRUE,FALSE,FALSE,FALSE,
oewn-11045922-n,"Hamilton, Alice Hamilton",United States toxicologist known for her work on industrial poisons (1869-1970),TRUE,FALSE,FALSE,FALSE,
oewn-11059184-n,"Hellman, Lillian Hellman",United States playwright; her plays were often indictments of injustice (1905-1984),TRUE,FALSE,FALSE,FALSE,
oewn-11089075-n,"Hutchinson, Anne Hutchinson",American colonist (born in England) who was banished from Boston for her religious views (1591-1643),TRUE,FALSE,FALSE,FALSE,
oewn-11090377-n,Hypatia,Greek philosopher and astronomer; she invented the astrolabe (370-415),TRUE,FALSE,FALSE,FALSE,
oewn-11101343-n,"Saint Joan, Jeanne d'Arc, Joan of Arc",French heroine and military leader inspired by religious visions to organize French resistance to the English and to have Charles VII crowned king; she was later tried for heresy and burned at the stake (1412-1431),TRUE,FALSE,FALSE,FALSE,
